,TWEETS,Cleaned_TWEETS,Lemmatized_TWEETS,Sentiment_Scores,Predicted_lables
26,@BernieSanders That had nothing to do directly with the Coronavirus. You wanted to save or be seen as saving the postal service because they donate to Democrats,"[('berniesand', 'NN'), ('that', 'IN'), ('noth', 'DT'), ('directli', 'JJ'), ('coronaviru', 'NN'), ('want', 'VBP'), ('save', 'NN'), ('seen', 'VBN'), ('save', 'VBP'), ('postal', 'JJ'), ('servic', 'JJ'), ('donat', 'NN'), ('democrat', 'NN')]",berniesand noth directli coronaviru want save see save postal servic donat democrat,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
27,So like big ass earthquake in UTAH ... tornado warning in Texas .... coronavirus everywhere... wtf,"[('like', 'IN'), ('earthquak', 'JJ'), ('utah', 'JJ'), ('tornado', 'NN'), ('warn', 'NN'), ('texa', 'NN'), ('coronaviru', 'NN'), ('everywher', 'NN')]",like earthquak utah tornado warn texa coronaviru everywher,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
28,Would love to see all the big cities do this. @LondonBreed,"[('would', 'MD'), ('love', 'VB'), ('citi', 'NN'), ('londonbre', 'NN')]",would love citi londonbre,"{'polarity': 0.5, 'subjectivity': 0.6}",Positive
29,What we are seeing over and again is the futility and uselessness of racism in a time of a pandemic and really in any time. I wish it was as easy as declaring racism one of #ThingsWeLeftInThePandemic. But we know it will take more than that.,"[('what', 'WP'), ('see', 'VBP'), ('futil', 'JJ'), ('useless', 'JJ'), ('racism', 'NN'), ('time', 'NN'), ('pandem', 'JJ'), ('realli', 'NN'), ('time', 'NN'), ('wish', 'JJ'), ('easi', 'NN'), ('declar', 'JJ'), ('racism', 'NN'), ('thingsweleftinthepandem', 'NN'), ('know', 'VBP'), ('take', 'VB')]",see futil useless racism time pandem realli time wish easi declar racism thingsweleftinthepandem know take,"{'polarity': -0.5, 'subjectivity': 0.2}",Negative
30,#HELP never expected it to come to this needing govt assistance #NoIncome #NoMoney #NoMortgage #NoRent we need immediate #RentMortgageFreeze #COVID19 @MayorOfLA @CAgovernor @abc7kimi @ABC7Jory @abc7eileen @abc7coleen,"[('help', 'NN'), ('never', 'RB'), ('expect', 'VBP'), ('come', 'JJ'), ('need', 'VBP'), ('govt', 'JJ'), ('assist', 'JJ'), ('noincom', 'NN'), ('nomoney', 'NN'), ('nomortgag', 'JJ'), ('norent', 'JJ'), ('need', 'NN'), ('immedi', 'NN'), ('rentmortgagefreez', 'VB'), ('covid', 'JJ'), ('mayorofla', 'NNS'), ('cagovernor', 'VBP'), ('kimi', 'JJ'), ('jori', 'NN'), ('eileen', 'NN'), ('coleen', 'NN')]",help never expect come need govt assist noincom nomoney nomortgag norent need immedi rentmortgagefreez covid mayorofla cagovernor kimi jori eileen coleen,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
31,Every time I see Port of Los Angeles I can\xe2\x80\x99t help but think of Port Angeles. \xf0\x9f\x98\x82\xe2\x98\x81\xef\xb8\x8f,"[('everi', 'JJ'), ('time', 'NN'), ('port', 'NN'), ('angel', 'VBD'), ('help', 'NN'), ('think', 'VB'), ('port', 'NN'), ('angel', 'NN')]",everi time port angel help think port angel,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
32,Yes I agree! https://t.co/i4vS9OPAym,"[('agre', 'NN'), ('http', 'NN'), ('opaym', 'NN')]",agre http opaym,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
33,Changed now,"[('chang', 'NN')]",chang,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
34,@eugenegu @realDonaldTrump @nytimes The death rate is high because they are counting all the dead even with no direct evidence of Covid-19.  1.8 millions die every year in America without the the pandemic. What happened to those dead Americans.,"[('eugenegu', 'JJ'), ('realdonaldtrump', 'NN'), ('nytim', 'JJ'), ('death', 'NN'), ('rate', 'NN'), ('high', 'JJ'), ('count', 'NN'), ('dead', 'JJ'), ('even', 'RB'), ('direct', 'JJ'), ('evid', 'NN'), ('covid', 'NN'), ('million', 'CD'), ('everi', 'JJ'), ('year', 'NN'), ('america', 'NN'), ('without', 'IN'), ('pandem', 'NN'), ('what', 'WP'), ('happen', 'VBZ'), ('dead', 'JJ'), ('american', 'JJ')]",eugenegu realdonaldtrump nytim death rate high count dead even direct evid covid million everi year america without pandem happen dead american,"{'polarity': -0.028000000000000004, 'subjectivity': 0.348}",Negative
35,Thai for the @UCLA Fire Department team. Thank you for your your service \xf0\x9f\x99\x8f #feedthefrontline #teamla #LAFD #besthospital #covid #firstresponders #doctors #nurses #frontline . . . . #foodporn #eat #happy #instagood\xe2\x80\xa6 https://t.co/PJhgNVIxxt,"[('thai', 'NN'), ('ucla', 'JJ'), ('fire', 'NN'), ('depart', 'NN'), ('team', 'NN'), ('thank', 'NN'), ('servic', 'JJ'), ('feedthefrontlin', 'NN'), ('teamla', 'NN'), ('lafd', 'NN'), ('besthospit', 'NN'), ('covid', 'JJ'), ('firstrespond', 'NN'), ('doctor', 'NN'), ('nurs', 'IN'), ('frontlin', 'JJ'), ('foodporn', 'JJ'), ('happi', 'NN'), ('instagood', 'NN'), ('http', 'NN'), ('pjhgnvixxt', 'NN')]",thai ucla fire depart team thank servic feedthefrontlin teamla lafd besthospit covid firstrespond doctor nurs frontlin foodporn happi instagood http pjhgnvixxt,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
36,@ultratrailwtour @wser @mozart100_run We\xe2\x80\x99re sorry about the race being postponed. Would love to have everyone in your community continue to log miles with us for our covid relief programs. We\xe2\x80\x99d love to give your followers early access to join our virtual run challenge: https://t.co/JO1MiHGaER,"[('ultratrailwtour', 'JJ'), ('wser', 'NN'), ('mozart', 'NN'), ('sorri', 'NN'), ('race', 'NN'), ('postpon', 'NN'), ('would', 'MD'), ('love', 'VB'), ('everyon', 'NN'), ('commun', 'NN'), ('continu', 'NN'), ('mile', 'NN'), ('covid', 'JJ'), ('relief', 'NN'), ('program', 'NN'), ('love', 'VBP'), ('give', 'VB'), ('follow', 'JJ'), ('earli', 'NN'), ('access', 'NN'), ('join', 'VBP'), ('virtual', 'JJ'), ('challeng', 'NN'), ('http', 'NN'), ('mihgaer', 'NN')]",ultratrailwtour wser mozart sorri race postpon would love everyon commun continu mile covid relief program love give follow earli access join virtual challeng http mihgaer,"{'polarity': 0.5, 'subjectivity': 0.6}",Positive
