,TWEETS,Cleaned_TWEETS,Lemmatized_TWEETS,Sentiment_Scores,Predicted_lables
380,@KTLA @FrankBuckleyTV tell Megan she is in Temescal Valley Not Corona,"[('ktla', 'VB'), ('frankbuckleytv', 'NN'), ('tell', 'NN'), ('megan', 'FW'), ('temesc', 'JJ'), ('valley', 'NN'), ('corona', 'NN')]",ktla frankbuckleytv tell megan temesc valley corona,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
381,Brilliant,"[('brilliant', 'NN')]",brilliant,"{'polarity': 0.9, 'subjectivity': 1.0}",Positive
382,I\xe2\x80\x99m sorry what? Y\xe2\x80\x99all can just make aggressive phone calls instead of not making sense,"[('sorri', 'NNS'), ('make', 'VBP'), ('aggress', 'JJ'), ('phone', 'NN'), ('call', 'NN'), ('instead', 'RB'), ('make', 'VB'), ('sens', 'NNS')]",sorri make aggress phone call instead make sen,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
383,Please tell me how it makes sense that csusm is cancelling multiple events on campus bc it\xe2\x80\x99s dangerous to have large populations due to the corona virus yet they still want thousands of students to go to class everyday ????,"[('pleas', 'NNS'), ('tell', 'VBP'), ('make', 'VB'), ('sens', 'NNS'), ('csusm', 'VB'), ('cancel', 'NN'), ('multipl', 'FW'), ('event', 'NN'), ('campu', 'NN'), ('danger', 'NN'), ('larg', 'NN'), ('popul', 'NN'), ('corona', 'NN'), ('viru', 'NN'), ('still', 'RB'), ('want', 'VBP'), ('thousand', 'CD'), ('student', 'NN'), ('class', 'NN'), ('everyday', 'NN')]",plea tell make sen csusm cancel multipl event campu danger larg popul corona viru still want thousand student class everyday,"{'polarity': -0.2, 'subjectivity': 0.6}",Negative
384,Segue atualizados sobre o covid-19 no mundo em tempo real https://t.co/yJH1KmQDv4,"[('segu', 'NN'), ('atualizado', 'NN'), ('sobr', 'NN'), ('covid', 'NN'), ('mundo', 'NN'), ('tempo', 'JJ'), ('real', 'JJ'), ('http', 'NN'), ('kmqdv', 'NN')]",segu atualizado sobr covid mundo tempo real http kmqdv,"{'polarity': 0.2, 'subjectivity': 0.30000000000000004}",Positive
385,People stop please this idiot @POTUS sar and did nothing nothing now thousand are infected with #coronavirus #stepdowntrump,"[('peopl', 'NN'), ('stop', 'VB'), ('pleas', 'NNS'), ('idiot', 'JJ'), ('potu', 'JJ'), ('noth', 'DT'), ('noth', 'DT'), ('thousand', 'VBP'), ('infect', 'JJ'), ('coronaviru', 'NN'), ('stepdowntrump', 'NN')]",peopl stop plea idiot potu noth noth thousand infect coronaviru stepdowntrump,"{'polarity': -0.8, 'subjectivity': 0.8}",Negative
386,hi Marshall law.. how are ya??,"[('marshal', 'NN')]",marshal,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
387,2. #Wuhan did not require testing for people to go back to work. They tracked #COVID19 cases by neighborhood &amp; if there were no cases in a neighborhood people were deemed noncontangious &amp; were given an app on their phone. Hard to test everyone in #China.,"[('wuhan', 'NN'), ('requir', 'VB'), ('test', 'NN'), ('peopl', 'NN'), ('back', 'RB'), ('work', 'NN'), ('they', 'PRP'), ('track', 'VBP'), ('covid', 'JJ'), ('case', 'NN'), ('neighborhood', 'NN'), ('case', 'NN'), ('neighborhood', 'NN'), ('peopl', 'NN'), ('deem', 'VBP'), ('noncontangi', 'RB'), ('given', 'VBN'), ('phone', 'NN'), ('hard', 'JJ'), ('test', 'NN'), ('everyon', 'NN'), ('china', 'NN')]",wuhan requir test peopl back work track covid case neighborhood case neighborhood peopl deem noncontangi give phone hard test everyon china,"{'polarity': -0.14583333333333334, 'subjectivity': 0.2708333333333333}",Negative
388,It's the little things that feel so exciting now! Like scoring a time on Prime Now \xf0\x9f\xa4\x97 #COVID\xe3\x83\xbc19 https://t.co/MBwHJRUFOz,"[('littl', 'JJ'), ('thing', 'NN'), ('feel', 'NN'), ('excit', 'IN'), ('like', 'IN'), ('score', 'NN'), ('time', 'NN'), ('prime', 'JJ'), ('covid', 'NN'), ('http', 'NN'), ('mbwhjrufoz', 'NN')]",littl thing feel excit like score time prime covid http mbwhjrufoz,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
389,"\'#Magier #RoyHorn von ""#SiegfriedundRoy"" stirbt an #Covid19.\' #LasVegas https://t.co/oYFQXkADrW","[('magier', 'JJR'), ('royhorn', 'JJ'), ('siegfriedundroy', 'NN'), ('stirbt', 'NN'), ('covid', 'NN'), ('lasvega', 'JJ'), ('http', 'NN'), ('oyfqxkadrw', 'NN')]",magier royhorn siegfriedundroy stirbt covid lasvega http oyfqxkadrw,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
390,Whoa.,"[('whoa', 'NN')]",whoa,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
391,\xe8\x87\xaa\xe4\xb8\x89\xe6\x9c\x88\xe4\xbb\xbd\xe6\x96\xb0\xe5\x86\xa0\xe8\x82\xba\xe7\x82\x8e\xef\xbc\x88COVID-19\xef\xbc\x89\xe7\x96\xab\xe6\x83\x85\xe7\x88\x86\xe7\x99\xbc\xe4\xbb\xa5\xe4\xbe\x86\xef\xbc\x8c\xe5\x8a\xa0\xe5\xb7\x9e\xe6\xa9\x9f\xe5\xa0\xb4\xe5\x87\xba\xe7\x99\xbc\xe7\x9a\x84\xe8\x88\xaa\xe7\x8f\xad\xe6\x95\xb4\xe9\xab\x94\xe4\xb8\x8b\xe9\x99\x8d65\xef\xbc\x85\xef\xbc\x8c\xe6\xb4\x9b\xe6\x9d\x89\xe7\xa3\xaf\xe5\x9c\x8b\xe9\x9a\x9b\xe6\xa9\x9f\xe5\xa0\xb4\xef\xbc\x88LAX\xef\xbc\x89\xe5\x89\x87\xe9\x99\x8d\xe4\xba\x8675%\xef\xbc\x8c\xe8\x80\x8c\xe6\xa9\x99\xe7\xb8\xa3\xe7\xb4\x84\xe7\xbf\xb0\xe9\x9f\x8b\xe6\x81\xa9\xe6\xa9\x9f\xe5\xa0\xb4\xef\xbc\x88JWA\xef\xbc\x89\xe4\xb8\x8b\xe6\xbb\x91\xe5\xb9\x85\xe5\xba\xa6\xe6\x9b\xb4\xe5\xa4\xa7\xef\xbc\x8c\xe7\x8f\xad\xe6\xa9\x9f\xe6\xb8\x9b\xe5\xb0\x91\xe4\xba\x8680%\xe4\xbb\xa5\xe4\xb8\x8a\xe3\x80\x82https://t.co/gBdFRC7uat https://t.co/qAPgtRGp1j,"[('covid', 'NN'), ('http', 'NN'), ('gbdfrc', 'NN'), ('http', 'NN'), ('qapgtrgp', 'NN')]",covid http gbdfrc http qapgtrgp,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
392,#coronavirus #pandemic #2020 #GAOMG #culvercity #losangeles #hollywood #california @tinaeatsdrinks #c4jforever #greatestauthorofmygeneration #authorsofinstagram #writersofinstagram #amazon #Galbraith #scotland\xe2\x80\xa6 https://t.co/lMF7iAj8yS,"[('coronaviru', 'NN'), ('pandem', 'NN'), ('gaomg', 'NN'), ('culverc', 'NN'), ('losangel', 'VBD'), ('hollywood', 'NN'), ('california', 'NN'), ('tinaeatsdrink', 'VBP'), ('jforev', 'NN'), ('greatestauthorofmygener', 'NN'), ('authorsofinstagram', 'JJ'), ('writersofinstagram', 'NN'), ('amazon', 'NN'), ('galbraith', 'NN'), ('scotland', 'NN'), ('http', 'NN')]",coronaviru pandem gaomg culverc losangel hollywood california tinaeatsdrink jforev greatestauthorofmygener authorsofinstagram writersofinstagram amazon galbraith scotland http,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
393,@YoYo_Ma presents: In Memoriam of Us. @YouTube @ytcreators @SFSymphony @LAPhil @mtilsonthomas @GustavoDudamel\xe2\x80\xa6 https://t.co/ujcgjsh5V0,"[('yoyo', 'JJ'), ('present', 'JJ'), ('memoriam', 'NN'), ('youtub', 'NN'), ('ytcreator', 'NN'), ('sfsymphoni', 'NN'), ('laphil', 'NN'), ('mtilsonthoma', 'NN'), ('gustavodudamel', 'NN'), ('http', 'NN'), ('ujcgjsh', 'NN')]",yoyo present memoriam youtub ytcreator sfsymphoni laphil mtilsonthoma gustavodudamel http ujcgjsh,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
394,\xf0\x9f\x87\xa6\xf0\x9f\x87\xa8\xf0\x9f\x87\xa6\xf0\x9f\x87\xa9\xf0\x9f\x87\xa6\xf0\x9f\x87\xaa\xf0\x9f\x87\xa6\xf0\x9f\x87\xab\xf0\x9f\x87\xa6\xf0\x9f\x87\xac\xf0\x9f\x87\xa6\xf0\x9f\x87\xae\xf0\x9f\x87\xa6\xf0\x9f\x87\xb1\xf0\x9f\x87\xa6\xf0\x9f\x87\xb2\xf0\x9f\x87\xa6\xf0\x9f\x87\xb4\xf0\x9f\x87\xa6\xf0\x9f\x87\xb6\xf0\x9f\x87\xa6\xf0\x9f\x87\xb7\xf0\x9f\x87\xa6\xf0\x9f\x87\xb8\xf0\x9f\x87\xa6\xf0\x9f\x87\xb9\xf0\x9f\x87\xa6\xf0\x9f\x87\xba\xf0\x9f\x87\xa6\xf0\x9f\x87\xbc\xf0\x9f\x87\xa6\xf0\x9f\x87\xbd\xf0\x9f\x87\xa6\xf0\x9f\x87\xbf\xf0\x9f\x87\xa7\xf0\x9f\x87\xa6\xf0\x9f\x87\xa7\xf0\x9f\x87\xa7\xf0\x9f\x87\xa7\xf0\x9f\x87\xa9\xf0\x9f\x87\xa7\xf0\x9f\x87\xaa\xf0\x9f\x87\xa7\xf0\x9f\x87\xab\xf0\x9f\x87\xa7\xf0\x9f\x87\xac\xf0\x9f\x87\xa7\xf0\x9f\x87\xad\xf0\x9f\x87\xa7\xf0\x9f\x87\xae\xf0\x9f\x87\xa7\xf0\x9f\x87\xaf\xf0\x9f\x87\xa7\xf0\x9f\x87\xb1\xf0\x9f\x87\xa7\xf0\x9f\x87\xb2\xf0\x9f\x87\xa7\xf0\x9f\x87\xb3\xf0\x9f\x87\xa7\xf0\x9f\x87\xb4\xf0\x9f\x87\xa7\xf0\x9f\x87\xb6\xf0\x9f\x87\xa7\xf0\x9f\x87\xb7\xf0\x9f\x87\xa7\xf0\x9f\x87\xb8\xf0\x9f\x87\xa7\xf0\x9f\x87\xb9\xf0\x9f\x87\xa7\xf0\x9f\x87\xbc\xf0\x9f\x87\xa7\xf0\x9f\x87\xbe\xf0\x9f\x87\xa7\xf0\x9f\x87\xbf\xf0\x9f\x87\xa8\xf0\x9f\x87\xa6\xf0\x9f\x87\xa8\xf0\x9f\x87\xa8\xf0\x9f\x87\xa8\xf0\x9f\x87\xa9\xf0\x9f\x87\xa8\xf0\x9f\x87\xab\xf0\x9f\x87\xa8\xf0\x9f\x87\xac\xf0\x9f\x87\xa8\xf0\x9f\x87\xad\xf0\x9f\x87\xa8\xf0\x9f\x87\xae\xf0\x9f\x87\xa8\xf0\x9f\x87\xb0\xf0\x9f\x87\xa8\xf0\x9f\x87\xb1\xf0\x9f\x87\xa8\xf0\x9f\x87\xb2\xf0\x9f\x87\xa8\xf0\x9f\x87\xb3\xf0\x9f\x87\xa8\xf0\x9f\x87\xb4\xf0\x9f\x87\xa8\xf0\x9f\x87\xb7\xf0\x9f\x87\xa8\xf0\x9f\x87\xba\xf0\x9f\x87\xa8\xf0\x9f\x87\xbb\xf0\x9f\x87\xa8\xf0\x9f\x87\xbc\xf0\x9f\x87\xa8\xf0\x9f\x87\xbd\xf0\x9f\x87\xa8\xf0\x9f\x87\xbe\xf0\x9f\x87\xa8\xf0\x9f\x87\xbf\xf0\x9f\x87\xa9\xf0\x9f\x87\xaa\xf0\x9f\x87\xa9\xf0\x9f\x87\xaf\xf0\x9f\x87\xa9\xf0\x9f\x87\xb0\xf0\x9f\x87\xa9\xf0\x9f\x87\xb2\xf0\x9f\x87\xa9\xf0\x9f\x87\xb4\xf0\x9f\x87\xa9\xf0\x9f\x87\xbf\xf0\x9f\x87\xaa\xf0\x9f\x87\xa8\xf0\x9f\x87\xaa\xf0\x9f\x87\xaa\xf0\x9f\x87\xaa\xf0\x9f\x87\xac\xf0\x9f\x87\xaa\xf0\x9f\x87\xad\xf0\x9f\x87\xaa\xf0\x9f\x87\xb7\xf0\x9f\x87\xaa\xf0\x9f\x87\xb8\xf0\x9f\x87\xaa\xf0\x9f\x87\xb9\xf0\x9f\x87\xaa\xf0\x9f\x87\xba\xf0\x9f\x87\xab\xf0\x9f\x87\xae\xf0\x9f\x87\xab\xf0\x9f\x87\xaf\xf0\x9f\x87\xab\xf0\x9f\x87\xb0\xf0\x9f\x87\xab\xf0\x9f\x87\xb2\xf0\x9f\x87\xab\xf0\x9f\x87\xb4\xf0\x9f\x87\xab\xf0\x9f\x87\xb7\xf0\x9f\x87\xac\xf0\x9f\x87\xa6\xf0\x9f\x87\xac\xf0\x9f\x87\xa7\xf0\x9f\x87\xac\xf0\x9f\x87\xa9\xf0\x9f\x87\xac\xf0\x9f\x87\xaa\xf0\x9f\x87\xac\xf0\x9f\x87\xab\xf0\x9f\x87\xac\xf0\x9f\x87\xac\xf0\x9f\x87\xac\xf0\x9f\x87\xad\xf0\x9f\x87\xac\xf0\x9f\x87\xae\xf0\x9f\x87\xac\xf0\x9f\x87\xb1\xf0\x9f\x87\xac\xf0\x9f\x87\xb2\xf0\x9f\x87\xac\xf0\x9f\x87\xb3\xf0\x9f\x87\xac\xf0\x9f\x87\xb5\xf0\x9f\x87\xac\xf0\x9f\x87\xb6\xf0\x9f\x87\xac\xf0\x9f\x87\xb7\xf0\x9f\x87\xac\xf0\x9f\x87\xb8\xf0\x9f\x87\xac\xf0\x9f\x87\xb9\xf0\x9f\x87\xac\xf0\x9f\x87\xba\xf0\x9f\x87\xac\xf0\x9f\x87\xbc\xf0\x9f\x87\xac\xf0\x9f\x87\xbe\xf0\x9f\x87\xad\xf0\x9f\x87\xb0\xf0\x9f\x87\xad\xf0\x9f\x87\xb2\xf0\x9f\x87\xad\xf0\x9f\x87\xb3\xf0\x9f\x87\xad\xf0\x9f\x87\xb7\xf0\x9f\x87\xad\xf0\x9f\x87\xb9\xf0\x9f\x87\xad\xf0\x9f\x87\xba\xf0\x9f\x87\xae\xf0\x9f\x87\xa8\xf0\x9f\x87\xae\xf0\x9f\x87\xa9\xf0\x9f\x87\xae\xf0\x9f\x87\xaa\xf0\x9f\x87\xae\xf0\x9f\x87\xb1\xf0\x9f\x87\xae\xf0\x9f\x87\xb2\xf0\x9f\x87\xae\xf0\x9f\x87\xb3\xf0\x9f\x87\xae\xf0\x9f\x87\xb4\xf0\x9f\x87\xae\xf0\x9f\x87\xb6\xf0\x9f\x87\xae\xf0\x9f\x87\xb7\xf0\x9f\x87\xae\xf0\x9f\x87\xb8\xf0\x9f\x87\xae\xf0\x9f\x87\xb9\xf0\x9f\x87\xaf\xf0\x9f\x87\xaa\xf0\x9f\x87\xaf\xf0\x9f\x87\xb2\xf0\x9f\x87\xaf\xf0\x9f\x87\xb4\xf0\x9f\x87\xaf\xf0\x9f\x87\xb5\xf0\x9f\x87\xb0\xf0\x9f\x87\xaa\xf0\x9f\x87\xb0\xf0\x9f\x87\xac\xf0\x9f\x87\xb0\xf0\x9f\x87\xad\xf0\x9f\x87\xb0\xf0\x9f\x87\xae\xf0\x9f\x87\xb0\xf0\x9f\x87\xb2\xf0\x9f\x87\xb0\xf0\x9f\x87\xb3\xf0\x9f\x87\xb0\xf0\x9f\x87\xb5\xf0\x9f\x87\xb0\xf0\x9f\x87\xb7\xf0\x9f\x87\xb0\xf0\x9f\x87\xbc\xf0\x9f\x87\xb0\xf0\x9f\x87\xbe\xf0\x9f\x87\xb0\xf0\x9f\x87\xbf\xf0\x9f\x87\xb1\xf0\x9f\x87\xa6 out,[],,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
395,@latimes That could've paid for alotnof test for covid19 Glad she stayed true to her families m.o.,"[('latim', 'NN'), ('that', 'WDT'), ('could', 'MD'), ('paid', 'VB'), ('alotnof', 'JJ'), ('test', 'NN'), ('covid', 'NN'), ('glad', 'JJ'), ('stay', 'NN'), ('true', 'JJ'), ('famili', 'NN')]",latim could pay alotnof test covid glad stay true famili,"{'polarity': 0.425, 'subjectivity': 0.825}",Positive
396,i\xe2\x80\x99m so tired of this coronavirus,"[('tire', 'NN'), ('coronaviru', 'NN')]",tire coronaviru,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
397,Good man! @GovEvers,"[('good', 'JJ'), ('govev', 'NN')]",good govev,"{'polarity': 0.7, 'subjectivity': 0.6000000000000001}",Positive
398,I can\xe2\x80\x99t stand being on this planet anymore,"[('stand', 'NN'), ('planet', 'NN'), ('anymor', 'NN')]",stand planet anymor,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
399,Please let China beat us #americahasnoright,"[('pleas', 'NNS'), ('china', 'VBP'), ('beat', 'NN'), ('americahasnoright', 'NN')]",plea china beat americahasnoright,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
400,Oh for fucks sake,"[('fuck', 'NNS'), ('sake', 'VBP')]",fuck sake,"{'polarity': -0.4, 'subjectivity': 0.6}",Negative
401,FACTSSSS,"[('factssss', 'NN')]",fact,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
402,GOD IS LIKE YALL GONE LEARN,"[('like', 'IN'), ('yall', 'DT'), ('gone', 'VBN'), ('learn', 'NN')]",like yall go learn,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
403,Looks like Rutgers has lowered its standards for professors. NJ deserves better than this kind of hate!,"[('look', 'NN'), ('like', 'IN'), ('rutger', 'NN'), ('lower', 'RBR'), ('standard', 'NN'), ('professor', 'NN'), ('deserv', 'NN'), ('better', 'RBR'), ('kind', 'NN'), ('hate', 'NN')]",look like rutger lower standard professor deserv well kind hate,"{'polarity': -0.0666666666666667, 'subjectivity': 0.6}",Negative
404,\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb\xf0\x9f\x91\x87\xf0\x9f\x8f\xbb THIS is IMPORTANT!! #ProtectYourself #ProtectYourSelfAndOthers,"[('thi', 'NN'), ('import', 'NN'), ('protectyourself', 'PRP'), ('protectyourselfandoth', 'VBP')]",thi import protectyourself protectyourselfandoth,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
405,https://t.co/eQNKrxArjA,"[('http', 'NN'), ('eqnkrxarja', 'NN')]",http eqnkrxarja,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
406,And cut the salary of all higher admin by 20-50%.  That\xe2\x80\x99s where the real $$ is,"[('salari', 'NN'), ('higher', 'JJR'), ('admin', 'NN'), ('that', 'IN'), ('real', 'JJ')]",salari high admin real,"{'polarity': 0.18, 'subjectivity': 0.42}",Positive
407,@chrisfdickson @carole84714333 @lmbuzzard @morningmika https://t.co/KWiiOSbT4x,"[('chrisfdickson', 'NN'), ('carol', 'NN'), ('lmbuzzard', 'NN'), ('morningmika', 'FW'), ('http', 'NN'), ('kwiiosbt', 'NN')]",chrisfdickson carol lmbuzzard morningmika http kwiiosbt,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
408,Despicable.,"[('despic', 'NN')]",despic,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
409,Great service by @southwestair The plane just stopped in the runway and returned to the gate. 7 people learned that their conference got cancelled due to the Corona virus and they're letting them leave. @ Hollywood\xe2\x80\xa6 https://t.co/4A5GFwKcuN,"[('great', 'JJ'), ('servic', 'JJ'), ('southwestair', 'NN'), ('plane', 'NN'), ('stop', 'VB'), ('runway', 'NN'), ('return', 'NN'), ('gate', 'NN'), ('peopl', 'NN'), ('learn', 'NN'), ('confer', 'VBP'), ('cancel', 'JJ'), ('corona', 'NN'), ('viru', 'NN'), ('let', 'NN'), ('leav', 'VB'), ('hollywood', 'NN'), ('http', 'NNS'), ('gfwkcun', 'VBP')]",great servic southwestair plane stop runway return gate peopl learn confer cancel corona viru let leav hollywood http gfwkcun,"{'polarity': 0.8, 'subjectivity': 0.75}",Positive
410,#COVID19 \xe4\xb8\xad\xe3\x81\xab\xe6\x97\xa5\xe6\x9c\xac\xe3\x81\xae\xe3\x82\xaf\xe3\x83\xa9\xe3\x83\x96\xe3\x82\xb7\xe3\x83\xbc\xe3\x83\xb3\xe3\x82\x92\xe4\xbf\x9d\xe5\xad\x98\xe3\x81\x99\xe3\x82\x8b\xe3\x81\x9f\xe3\x82\x81\xe3\x81\xab\xe7\xbd\xb2\xe5\x90\x8d\xe3\x81\x97\xe3\x81\xbe\xe3\x81\x99\xe3\x80\x82#Sign to save the Japanese club / electronic music scene during #COVID19. #SaveOurSpace https://t.co/8tZ9szXub7,"[('covid', 'JJ'), ('sign', 'NN'), ('save', 'VBP'), ('japanes', 'NNS'), ('club', 'VBP'), ('electron', 'JJ'), ('music', 'NN'), ('scene', 'NN'), ('covid', 'VBP'), ('saveourspac', 'NN'), ('http', 'NN'), ('szxub', 'NN')]",covid sign save japanes club electron music scene covid saveourspac http szxub,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
411,@smc429 @MysterySolvent Stop drinking Corona beer!,"[('mysterysolv', 'NN'), ('stop', 'NN'), ('drink', 'NN'), ('corona', 'NNS'), ('beer', 'NN')]",mysterysolv stop drink corona beer,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
412,@realDonaldTrump read this thread dude and be a man not a worm!,"[('realdonaldtrump', 'NN'), ('read', 'VBN'), ('thread', 'JJ'), ('dude', 'NN'), ('worm', 'NN')]",realdonaldtrump read thread dude worm,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
413,China lied about the Corona virus  It there long before they said a;,"[('china', 'NNS'), ('lie', 'VBP'), ('corona', 'JJ'), ('viru', 'NN'), ('long', 'RB'), ('said', 'VBD')]",china lie corona viru long say,"{'polarity': -0.05, 'subjectivity': 0.4}",Negative
414,Please stay home if you don't have to go out. Please. And if you do have to go out please stay 6 ft away from everyone. https://t.co/P590VohdF3,"[('pleas', 'NNS'), ('stay', 'VBP'), ('home', 'RB'), ('pleas', 'NNS'), ('pleas', 'VBP'), ('stay', 'VB'), ('away', 'RB'), ('everyon', 'JJ'), ('http', 'NN'), ('vohdf', 'NN')]",plea stay home plea pleas stay away everyon http vohdf,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
415,We are so thoroughly screwed. https://t.co/vzGNQFgZP1 https://t.co/W6bZGQYI0o,"[('thoroughli', 'NN'), ('screw', 'VBD'), ('http', 'JJ'), ('vzgnqfgzp', 'NN'), ('http', 'NN'), ('bzgqyi', 'NN')]",thoroughli screw http vzgnqfgzp http bzgqyi,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
416,@Outlander_STARZ @STARZ Are there TWO new episodes available this weekend not just one? Seeing two available in my Starz app on Roku. A covid-19 gift since we\xe2\x80\x99re all staying at home??,"[('outland', 'NN'), ('starz', 'NN'), ('starz', 'NN'), ('episod', 'JJ'), ('avail', 'NN'), ('weekend', 'NN'), ('see', 'VBP'), ('avail', 'JJ'), ('starz', 'NN'), ('roku', 'NN'), ('covid', 'NN'), ('gift', 'NN'), ('sinc', 'NN'), ('stay', 'NN'), ('home', 'NN')]",outland starz starz episod avail weekend see avail starz roku covid gift sinc stay home,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
417,@bungeeegumm I need visuals !!!! I hate the coronavirus,"[('bungeeegumm', 'NNS'), ('need', 'VBP'), ('visual', 'JJ'), ('hate', 'NN'), ('coronaviru', 'NN')]",bungeeegumm need visual hate coronaviru,"{'polarity': -0.4, 'subjectivity': 0.45}",Negative
418,NPR: Trump Says He'll 'Temporarily Suspend Immigration' Over Coronavirus Fears. https://t.co/eETY4GncEh  via @GoogleNews,"[('trump', 'NNS'), ('say', 'VBP'), ('temporarili', 'JJ'), ('suspend', 'VBP'), ('immigr', 'NN'), ('over', 'IN'), ('coronaviru', 'JJ'), ('fear', 'JJ'), ('http', 'NN'), ('eeti', 'NN'), ('gnceh', 'NN'), ('googlenew', 'NN')]",trump say temporarili suspend immigr coronaviru fear http eeti gnceh googlenew,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
419,@Reuters Covid v19.5_final_final2.zip,"[('reuter', 'NN'), ('covid', 'VBZ'), ('final', 'JJ'), ('final', 'JJ')]",reuter covid final final,"{'polarity': 0.0, 'subjectivity': 1.0}",Neutral
420,Exactly this!,"[('exactli', 'NN')]",exactli,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
421,If corona virus could keep bringing the house prices down that would  be great,"[('corona', 'NN'), ('viru', 'NN'), ('could', 'MD'), ('keep', 'VB'), ('bring', 'VBG'), ('hous', 'JJ'), ('price', 'NN'), ('would', 'MD'), ('great', 'JJ')]",corona viru could keep bring hous price would great,"{'polarity': 0.8, 'subjectivity': 0.75}",Positive
422,@mylanguagehub @MLH_CarinaBalbo Coronavirus made me do it: AGAIN! My Saturday class got more demand than I expected\xe2\x80\xa6 https://t.co/y7GvxYuFz6,"[('mylanguagehub', 'NN'), ('carinabalbo', 'NN'), ('coronaviru', 'NN'), ('made', 'VBD'), ('again', 'RB'), ('saturday', 'JJ'), ('class', 'NN'), ('demand', 'NN'), ('expect', 'VBP'), ('http', 'NN'), ('gvxyufz', 'NN')]",mylanguagehub carinabalbo coronaviru make saturday class demand expect http gvxyufz,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
423,They'll be brighter days \xf0\x9f\x8c\x9d\xf0\x9f\x8c\x9f . . . \xf0\x9f\x93\xb7 : @rubetube #wednesday #wednesdaywisdom #humpday #stayhome #quarantine #covid_19 #love #smile #inspiration #girl #joy #happy #bestoftheday #picoftheday #beauty #thankful\xe2\x80\xa6 https://t.co/M0t2dd83Ch,"[('they', 'PRP'), ('brighter', 'VBP'), ('day', 'NN'), ('rubetub', 'VB'), ('wednesday', 'JJ'), ('wednesdaywisdom', 'NN'), ('humpday', 'NN'), ('stayhom', 'VBD'), ('quarantin', 'JJ'), ('covid', 'NN'), ('love', 'NN'), ('smile', 'NN'), ('inspir', 'NN'), ('girl', 'NN'), ('happi', 'NN'), ('bestoftheday', 'NN'), ('picoftheday', 'JJ'), ('beauti', 'NN'), ('thank', 'NN'), ('http', 'NN')]",brighter day rubetub wednesday wednesdaywisdom humpday stayhom quarantin covid love smile inspir girl happi bestoftheday picoftheday beauti thank http,"{'polarity': 0.4, 'subjectivity': 0.35}",Positive
424,Great news - the first remdesivir #COVID19 data readout is close.,"[('great', 'JJ'), ('news', 'NN'), ('first', 'RB'), ('remdesivir', 'VBZ'), ('covid', 'NN'), ('data', 'NNS'), ('readout', 'NN'), ('close', 'RB')]",great news first remdesivir covid data readout close,"{'polarity': 0.525, 'subjectivity': 0.5416666666666666}",Positive
425,Clearly I\xe2\x80\x99m stoked! Corona time foo! \xf0\x9f\x8d\xbb https://t.co/UERIagmY6y,"[('clearli', 'NN'), ('stoke', 'VBD'), ('corona', 'JJ'), ('time', 'NN'), ('http', 'NN'), ('ueriagmi', 'NN')]",clearli stoke corona time http ueriagmi,"{'polarity': 0.0, 'subjectivity': 0.0}",Neutral
426,It\xe2\x80\x99s about control. It\xe2\x80\x99s sick.,"[('control', 'NN'), ('sick', 'NN')]",control sick,"{'polarity': -0.7142857142857143, 'subjectivity': 0.8571428571428571}",Negative
